country,generation,age,suicides_no
Argentina,Boomers,55-74 years,102
Argentina,Boomers,55-74 years,405
Argentina,Boomers,55-74 years,109
Argentina,Boomers,55-74 years,431
Argentina,Boomers,55-74 years,125
Armenia,Boomers,25-34 years,16
Armenia,Boomers,25-34 years,4
Armenia,Boomers,25-34 years,20
Armenia,Boomers,35-54 years,14
Armenia,Boomers,35-54 years,9
Armenia,Boomers,25-34 years,4
Armenia,Boomers,35-54 years,22
Armenia,Boomers,25-34 years,15
Armenia,Boomers,35-54 years,6
Armenia,Boomers,25-34 years,0
Armenia,Boomers,35-54 years,25
Armenia,Boomers,25-34 years,17
Armenia,Boomers,25-34 years,6
Armenia,Boomers,35-54 years,6
Armenia,Boomers,35-54 years,31
Armenia,Boomers,25-34 years,10
Armenia,Boomers,35-54 years,7
Armenia,Boomers,25-34 years,1
Armenia,Boomers,35-54 years,32
Armenia,Boomers,35-54 years,8
Armenia,Boomers,35-54 years,24
Armenia,Boomers,35-54 years,7
Armenia,Boomers,35-54 years,26
Armenia,Boomers,35-54 years,3
Armenia,Boomers,35-54 years,20
Armenia,Boomers,35-54 years,9
Armenia,Boomers,35-54 years,22
Armenia,Boomers,35-54 years,4
Armenia,Boomers,35-54 years,18
Armenia,Boomers,35-54 years,1
Armenia,Boomers,35-54 years,19
Armenia,Boomers,35-54 years,3
Armenia,Boomers,35-54 years,22
Armenia,Boomers,35-54 years,6
Armenia,Boomers,35-54 years,21
Armenia,Boomers,35-54 years,3
Armenia,Boomers,35-54 years,17
Armenia,Boomers,35-54 years,5
Armenia,Boomers,35-54 years,19
Armenia,Boomers,35-54 years,8
Armenia,Boomers,35-54 years,11
Armenia,Boomers,35-54 years,10
Armenia,Boomers,35-54 years,17
Armenia,Boomers,35-54 years,3
Armenia,Boomers,55-74 years,11
Armenia,Boomers,55-74 years,3
Armenia,Boomers,55-74 years,11
Armenia,Boomers,55-74 years,4
Armenia,Boomers,55-74 years,11
Armenia,Boomers,55-74 years,11
Armenia,Boomers,55-74 years,12
Armenia,Boomers,55-74 years,4
Armenia,Boomers,55-74 years,16
Armenia,Boomers,55-74 years,5
Armenia,Boomers,55-74 years,16
Armenia,Boomers,55-74 years,6
Aruba,Boomers,35-54 years,1
Aruba,Boomers,35-54 years,0
Aruba,Boomers,35-54 years,3
Aruba,Boomers,35-54 years,0
Aruba,Boomers,35-54 years,2
Aruba,Boomers,35-54 years,2
Aruba,Boomers,35-54 years,4
Aruba,Boomers,35-54 years,0
Aruba,Boomers,35-54 years,2
Aruba,Boomers,35-54 years,0
Aruba,Boomers,35-54 years,2
Aruba,Boomers,35-54 years,0
Aruba,Boomers,35-54 years,2
Aruba,Boomers,35-54 years,0
Aruba,Boomers,35-54 years,3
Aruba,Boomers,35-54 years,2
Aruba,Boomers,35-54 years,3
Aruba,Boomers,35-54 years,2
Aruba,Boomers,35-54 years,3
Aruba,Boomers,35-54 years,0
Aruba,Boomers,35-54 years,1
Aruba,Boomers,35-54 years,1
Aruba,Boomers,35-54 years,2
Aruba,Boomers,35-54 years,0
Aruba,Boomers,55-74 years,3
Aruba,Boomers,55-74 years,1
Australia,Boomers,25-34 years,357
Australia,Boomers,25-34 years,64
Australia,Boomers,25-34 years,367
Australia,Boomers,25-34 years,88
Australia,Boomers,25-34 years,374
Australia,Boomers,25-34 years,70
Australia,Boomers,25-34 years,398
Australia,Boomers,25-34 years,106
Australia,Boomers,25-34 years,406
Australia,Boomers,25-34 years,87
Australia,Boomers,25-34 years,418
Australia,Boomers,25-34 years,109
Australia,Boomers,25-34 years,427
Australia,Boomers,35-54 years,631
Australia,Boomers,35-54 years,169
Australia,Boomers,25-34 years,91
Australia,Boomers,25-34 years,407
Australia,Boomers,35-54 years,579
Australia,Boomers,25-34 years,96
Australia,Boomers,35-54 years,144
Australia,Boomers,25-34 years,392
Australia,Boomers,35-54 years,523
Australia,Boomers,35-54 years,161
Australia,Boomers,25-34 years,76
Australia,Boomers,25-34 years,426
Australia,Boomers,35-54 years,648
Australia,Boomers,35-54 years,162
Australia,Boomers,25-34 years,88
Australia,Boomers,35-54 years,587
Australia,Boomers,35-54 years,180
Australia,Boomers,35-54 years,669
Australia,Boomers,35-54 years,182
Australia,Boomers,35-54 years,717
Australia,Boomers,35-54 years,219
Australia,Boomers,35-54 years,773
Australia,Boomers,35-54 years,202
Australia,Boomers,35-54 years,741
Australia,Boomers,35-54 years,201
Australia,Boomers,35-54 years,745
Australia,Boomers,35-54 years,200
Australia,Boomers,35-54 years,752
Australia,Boomers,35-54 years,226
Australia,Boomers,35-54 years,744
Australia,Boomers,35-54 years,213
Australia,Boomers,35-54 years,654
Australia,Boomers,35-54 years,195
Australia,Boomers,35-54 years,655
Australia,Boomers,35-54 years,183
Australia,Boomers,35-54 years,686
Australia,Boomers,35-54 years,195
Australia,Boomers,35-54 years,687
Australia,Boomers,35-54 years,219
Australia,Boomers,35-54 years,765
Australia,Boomers,35-54 years,231
Australia,Boomers,35-54 years,755
Australia,Boomers,35-54 years,221
Australia,Boomers,55-74 years,366
Australia,Boomers,55-74 years,118
Australia,Boomers,55-74 years,396
Australia,Boomers,55-74 years,123
Australia,Boomers,55-74 years,418
Australia,Boomers,55-74 years,145
Australia,Boomers,55-74 years,471
Australia,Boomers,55-74 years,157
Australia,Boomers,55-74 years,457
Australia,Boomers,55-74 years,152
Austria,Boomers,25-34 years,232
Austria,Boomers,25-34 years,56
Austria,Boomers,25-34 years,272
Austria,Boomers,25-34 years,80
Austria,Boomers,25-34 years,247
Austria,Boomers,25-34 years,62
Austria,Boomers,25-34 years,229
Austria,Boomers,25-34 years,61
Austria,Boomers,25-34 years,218
Austria,Boomers,25-34 years,65
Austria,Boomers,25-34 years,209
Austria,Boomers,25-34 years,53
Austria,Boomers,35-54 years,402
Austria,Boomers,25-34 years,197
Austria,Boomers,35-54 years,145
Austria,Boomers,25-34 years,49
Austria,Boomers,35-54 years,405
Austria,Boomers,25-34 years,204
Austria,Boomers,35-54 years,163
Austria,Boomers,25-34 years,50
Austria,Boomers,35-54 years,377
Austria,Boomers,25-34 years,228
Austria,Boomers,35-54 years,140
Austria,Boomers,25-34 years,54
Austria,Boomers,35-54 years,432
Austria,Boomers,25-34 years,207
Austria,Boomers,35-54 years,151
Austria,Boomers,25-34 years,58
Austria,Boomers,35-54 years,437
Austria,Boomers,35-54 years,136
Austria,Boomers,35-54 years,452
Austria,Boomers,35-54 years,140
Austria,Boomers,35-54 years,379
Austria,Boomers,35-54 years,131
Austria,Boomers,35-54 years,407
Austria,Boomers,35-54 years,116
Austria,Boomers,35-54 years,386
Austria,Boomers,35-54 years,136
Austria,Boomers,35-54 years,383
Austria,Boomers,35-54 years,132
Austria,Boomers,35-54 years,377
Austria,Boomers,35-54 years,126
Austria,Boomers,35-54 years,422
Austria,Boomers,35-54 years,129
Austria,Boomers,35-54 years,371
Austria,Boomers,35-54 years,141
Austria,Boomers,35-54 years,347
Austria,Boomers,35-54 years,107
Austria,Boomers,35-54 years,364
Austria,Boomers,35-54 years,121
Austria,Boomers,35-54 years,382
Austria,Boomers,35-54 years,91
Austria,Boomers,35-54 years,331
Austria,Boomers,35-54 years,88
Austria,Boomers,35-54 years,340
Austria,Boomers,35-54 years,112
Austria,Boomers,35-54 years,332
Austria,Boomers,35-54 years,101
Austria,Boomers,55-74 years,276
Austria,Boomers,55-74 years,113
Austria,Boomers,55-74 years,298
Austria,Boomers,55-74 years,99
Austria,Boomers,55-74 years,299
Austria,Boomers,55-74 years,118
Austria,Boomers,55-74 years,282
Austria,Boomers,55-74 years,108
Austria,Boomers,55-74 years,294
Austria,Boomers,55-74 years,100
Austria,Boomers,55-74 years,290
Austria,Boomers,55-74 years,99
Azerbaijan,Boomers,25-34 years,19
Azerbaijan,Boomers,25-34 years,7
Azerbaijan,Boomers,25-34 years,29
Azerbaijan,Boomers,35-54 years,26
Azerbaijan,Boomers,35-54 years,11
Azerbaijan,Boomers,25-34 years,6
Azerbaijan,Boomers,35-54 years,39
Azerbaijan,Boomers,25-34 years,24
Azerbaijan,Boomers,25-34 years,10
Azerbaijan,Boomers,35-54 years,4
Azerbaijan,Boomers,35-54 years,20
Azerbaijan,Boomers,25-34 years,20
Azerbaijan,Boomers,35-54 years,10
Azerbaijan,Boomers,25-34 years,9
Azerbaijan,Boomers,35-54 years,11
Azerbaijan,Boomers,35-54 years,6
Azerbaijan,Boomers,25-34 years,4
Azerbaijan,Boomers,25-34 years,3
Azerbaijan,Boomers,35-54 years,18
Azerbaijan,Boomers,35-54 years,3
Azerbaijan,Boomers,35-54 years,14
Azerbaijan,Boomers,35-54 years,3
Azerbaijan,Boomers,35-54 years,34
Azerbaijan,Boomers,35-54 years,8
Azerbaijan,Boomers,35-54 years,18
Azerbaijan,Boomers,35-54 years,6
Azerbaijan,Boomers,35-54 years,19
Azerbaijan,Boomers,35-54 years,4
Azerbaijan,Boomers,35-54 years,14
Azerbaijan,Boomers,35-54 years,3
Azerbaijan,Boomers,35-54 years,79
Azerbaijan,Boomers,35-54 years,16
Azerbaijan,Boomers,35-54 years,32
Azerbaijan,Boomers,35-54 years,8
Azerbaijan,Boomers,35-54 years,40
Azerbaijan,Boomers,35-54 years,12
Azerbaijan,Boomers,35-54 years,40
Azerbaijan,Boomers,35-54 years,11
Azerbaijan,Boomers,35-54 years,15
Azerbaijan,Boomers,35-54 years,5
Bahamas,Boomers,25-34 years,0
Bahamas,Boomers,25-34 years,0
Bahamas,Boomers,25-34 years,1
Bahamas,Boomers,25-34 years,0
Bahamas,Boomers,25-34 years,2
Bahamas,Boomers,35-54 years,2
Bahamas,Boomers,25-34 years,0
Bahamas,Boomers,35-54 years,0
Bahamas,Boomers,35-54 years,3
Bahamas,Boomers,25-34 years,0
Bahamas,Boomers,35-54 years,0
Bahamas,Boomers,25-34 years,0
Bahamas,Boomers,35-54 years,1
Bahamas,Boomers,35-54 years,0
Bahamas,Boomers,35-54 years,3
Bahamas,Boomers,35-54 years,0
Bahamas,Boomers,35-54 years,1
Bahamas,Boomers,35-54 years,0
Bahamas,Boomers,35-54 years,1
Bahamas,Boomers,35-54 years,0
Bahamas,Boomers,35-54 years,1
Bahamas,Boomers,35-54 years,0
Bahamas,Boomers,35-54 years,5
Bahamas,Boomers,35-54 years,0
Bahamas,Boomers,35-54 years,1
Bahamas,Boomers,35-54 years,0
Bahamas,Boomers,35-54 years,1
Bahamas,Boomers,35-54 years,0
Bahamas,Boomers,35-54 years,1
Bahamas,Boomers,35-54 years,0
Bahamas,Boomers,35-54 years,1
Bahamas,Boomers,35-54 years,0
Bahamas,Boomers,35-54 years,1
Bahamas,Boomers,35-54 years,0
Bahamas,Boomers,35-54 years,1
Bahamas,Boomers,35-54 years,0
Bahamas,Boomers,35-54 years,2
Bahamas,Boomers,35-54 years,1
Bahamas,Boomers,35-54 years,1
Bahamas,Boomers,35-54 years,0
Bahamas,Boomers,35-54 years,2
Bahamas,Boomers,35-54 years,1
Bahamas,Boomers,55-74 years,1
Bahamas,Boomers,55-74 years,0
Bahamas,Boomers,55-74 years,0
Bahamas,Boomers,55-74 years,0
Bahamas,Boomers,55-74 years,2
Bahamas,Boomers,55-74 years,0
Bahrain,Boomers,25-34 years,7
Bahrain,Boomers,25-34 years,0
Bahrain,Boomers,25-34 years,3
Bahrain,Boomers,25-34 years,1
Bahrain,Boomers,25-34 years,8
Bahrain,Boomers,25-34 years,0
Bahrain,Boomers,35-54 years,0
Bahrain,Boomers,35-54 years,0
Bahrain,Boomers,35-54 years,0
Bahrain,Boomers,35-54 years,0
Bahrain,Boomers,35-54 years,4
Bahrain,Boomers,35-54 years,1
Bahrain,Boomers,35-54 years,10
Bahrain,Boomers,35-54 years,0
Bahrain,Boomers,35-54 years,8
Bahrain,Boomers,35-54 years,1
Bahrain,Boomers,35-54 years,9
Bahrain,Boomers,35-54 years,4
Bahrain,Boomers,35-54 years,17
Bahrain,Boomers,35-54 years,0
Bahrain,Boomers,35-54 years,10
Bahrain,Boomers,35-54 years,3
Bahrain,Boomers,35-54 years,14
Bahrain,Boomers,35-54 years,2
Bahrain,Boomers,35-54 years,3
Bahrain,Boomers,35-54 years,3
Bahrain,Boomers,35-54 years,13
Bahrain,Boomers,35-54 years,2
Bahrain,Boomers,35-54 years,13
Bahrain,Boomers,35-54 years,3
Bahrain,Boomers,35-54 years,14
Bahrain,Boomers,35-54 years,2
Bahrain,Boomers,55-74 years,1
Bahrain,Boomers,55-74 years,0
Bahrain,Boomers,55-74 years,0
Bahrain,Boomers,55-74 years,0
Bahrain,Boomers,55-74 years,0
Bahrain,Boomers,55-74 years,0
Bahrain,Boomers,55-74 years,0
Bahrain,Boomers,55-74 years,0
Barbados,Boomers,25-34 years,2
Barbados,Boomers,25-34 years,1
Barbados,Boomers,25-34 years,1
Barbados,Boomers,25-34 years,1
Barbados,Boomers,25-34 years,1
Barbados,Boomers,25-34 years,0
Barbados,Boomers,25-34 years,5
Barbados,Boomers,25-34 years,0
Barbados,Boomers,25-34 years,2
Barbados,Boomers,25-34 years,1
Barbados,Boomers,25-34 years,2
Barbados,Boomers,25-34 years,0
Barbados,Boomers,35-54 years,5
Barbados,Boomers,25-34 years,4
Barbados,Boomers,25-34 years,1
Barbados,Boomers,35-54 years,0
Barbados,Boomers,35-54 years,5
Barbados,Boomers,25-34 years,4
Barbados,Boomers,25-34 years,1
Barbados,Boomers,35-54 years,1
Barbados,Boomers,25-34 years,3
Barbados,Boomers,35-54 years,3
Barbados,Boomers,25-34 years,0
Barbados,Boomers,35-54 years,0
Barbados,Boomers,35-54 years,5
Barbados,Boomers,25-34 years,1
Barbados,Boomers,35-54 years,1
Barbados,Boomers,25-34 years,0
Barbados,Boomers,35-54 years,3
Barbados,Boomers,35-54 years,2
Barbados,Boomers,35-54 years,3
Barbados,Boomers,35-54 years,2
Barbados,Boomers,35-54 years,1
Barbados,Boomers,35-54 years,0
Barbados,Boomers,35-54 years,0
Barbados,Boomers,35-54 years,0
Barbados,Boomers,35-54 years,0
Barbados,Boomers,35-54 years,0
Barbados,Boomers,35-54 years,3
Barbados,Boomers,35-54 years,0
Barbados,Boomers,35-54 years,1
Barbados,Boomers,35-54 years,0
Barbados,Boomers,35-54 years,5
Barbados,Boomers,35-54 years,0
Barbados,Boomers,35-54 years,0
Barbados,Boomers,35-54 years,0
Barbados,Boomers,35-54 years,1
Barbados,Boomers,35-54 years,0
Barbados,Boomers,35-54 years,3
Barbados,Boomers,35-54 years,0
Barbados,Boomers,55-74 years,0
Barbados,Boomers,55-74 years,0
Barbados,Boomers,55-74 years,0
Barbados,Boomers,55-74 years,0
Barbados,Boomers,55-74 years,0
Barbados,Boomers,55-74 years,0
Belarus,Boomers,25-34 years,359
Belarus,Boomers,25-34 years,45
Belarus,Boomers,35-54 years,756
Belarus,Boomers,25-34 years,342
Belarus,Boomers,35-54 years,121
Belarus,Boomers,25-34 years,42
Belarus,Boomers,35-54 years,845
Belarus,Boomers,25-34 years,397
Belarus,Boomers,35-54 years,157
Belarus,Boomers,25-34 years,50
Belarus,Boomers,35-54 years,1072
Belarus,Boomers,25-34 years,454
Belarus,Boomers,35-54 years,164
Belarus,Boomers,25-34 years,58
Belarus,Boomers,35-54 years,1156
Belarus,Boomers,25-34 years,458
Belarus,Boomers,35-54 years,177
Belarus,Boomers,25-34 years,60
Belarus,Boomers,35-54 years,1222
Belarus,Boomers,35-54 years,181
Belarus,Boomers,35-54 years,1391
Belarus,Boomers,35-54 years,170
Belarus,Boomers,35-54 years,1326
Belarus,Boomers,35-54 years,188
Belarus,Boomers,35-54 years,1320
Belarus,Boomers,35-54 years,192
Belarus,Boomers,35-54 years,1178
Belarus,Boomers,35-54 years,174
Belarus,Boomers,35-54 years,1334
Belarus,Boomers,35-54 years,170
Belarus,Boomers,35-54 years,1266
Belarus,Boomers,35-54 years,164
Belarus,Boomers,35-54 years,1263
Belarus,Boomers,35-54 years,191
Belarus,Boomers,35-54 years,1304
Belarus,Boomers,35-54 years,179
Belarus,Boomers,35-54 years,900
Belarus,Boomers,35-54 years,163
Belarus,Boomers,35-54 years,961
Belarus,Boomers,35-54 years,184
Belarus,Boomers,35-54 years,903
Belarus,Boomers,35-54 years,165
Belarus,Boomers,55-74 years,415
Belarus,Boomers,55-74 years,91
Belarus,Boomers,55-74 years,376
Belarus,Boomers,55-74 years,87
Belarus,Boomers,55-74 years,341
Belarus,Boomers,55-74 years,68
Belgium,Boomers,25-34 years,245
Belgium,Boomers,25-34 years,78
Belgium,Boomers,25-34 years,236
Belgium,Boomers,25-34 years,76
Belgium,Boomers,25-34 years,273
Belgium,Boomers,25-34 years,100
Belgium,Boomers,25-34 years,238
Belgium,Boomers,25-34 years,86
Belgium,Boomers,25-34 years,215
Belgium,Boomers,25-34 years,72
Belgium,Boomers,25-34 years,213
Belgium,Boomers,25-34 years,81
Belgium,Boomers,35-54 years,424
Belgium,Boomers,25-34 years,235
Belgium,Boomers,35-54 years,184
Belgium,Boomers,25-34 years,71
Belgium,Boomers,35-54 years,450
Belgium,Boomers,25-34 years,235
Belgium,Boomers,35-54 years,171
Belgium,Boomers,25-34 years,69
Belgium,Boomers,35-54 years,573
Belgium,Boomers,25-34 years,276
Belgium,Boomers,35-54 years,196
Belgium,Boomers,25-34 years,74
Belgium,Boomers,35-54 years,538
Belgium,Boomers,25-34 years,266
Belgium,Boomers,35-54 years,213
Belgium,Boomers,25-34 years,83
Belgium,Boomers,35-54 years,593
Belgium,Boomers,35-54 years,222
Belgium,Boomers,35-54 years,551
Belgium,Boomers,35-54 years,215
Belgium,Boomers,35-54 years,608
Belgium,Boomers,35-54 years,238
Belgium,Boomers,35-54 years,571
Belgium,Boomers,35-54 years,228
Belgium,Boomers,35-54 years,558
Belgium,Boomers,35-54 years,198
Belgium,Boomers,35-54 years,589
Belgium,Boomers,35-54 years,253
Belgium,Boomers,35-54 years,686
Belgium,Boomers,35-54 years,248
Belgium,Boomers,35-54 years,636
Belgium,Boomers,35-54 years,242
Belgium,Boomers,35-54 years,684
Belgium,Boomers,35-54 years,218
Belgium,Boomers,35-54 years,618
Belgium,Boomers,35-54 years,237
Belgium,Boomers,35-54 years,643
Belgium,Boomers,35-54 years,236
Belgium,Boomers,35-54 years,616
Belgium,Boomers,35-54 years,229
Belgium,Boomers,35-54 years,578
Belgium,Boomers,35-54 years,232
Belgium,Boomers,35-54 years,648
Belgium,Boomers,35-54 years,225
Belgium,Boomers,35-54 years,645
Belgium,Boomers,35-54 years,229
Belgium,Boomers,55-74 years,408
Belgium,Boomers,55-74 years,185
Belgium,Boomers,55-74 years,381
Belgium,Boomers,55-74 years,187
Belgium,Boomers,55-74 years,357
Belgium,Boomers,55-74 years,168
Belgium,Boomers,55-74 years,363
Belgium,Boomers,55-74 years,177
Belgium,Boomers,55-74 years,353
Belgium,Boomers,55-74 years,176
Belize,Boomers,25-34 years,1
Belize,Boomers,25-34 years,0
Belize,Boomers,25-34 years,2
Belize,Boomers,25-34 years,0
Belize,Boomers,25-34 years,0
Belize,Boomers,25-34 years,0
Belize,Boomers,25-34 years,0
Belize,Boomers,25-34 years,0
Belize,Boomers,35-54 years,1
Belize,Boomers,25-34 years,0
Belize,Boomers,35-54 years,0
Belize,Boomers,25-34 years,0
Belize,Boomers,25-34 years,1
Belize,Boomers,25-34 years,0
Belize,Boomers,35-54 years,0
Belize,Boomers,35-54 years,0
Belize,Boomers,35-54 years,3
Belize,Boomers,25-34 years,2
Belize,Boomers,25-34 years,0
Belize,Boomers,35-54 years,0
Belize,Boomers,35-54 years,3
Belize,Boomers,35-54 years,0
Belize,Boomers,35-54 years,2
Belize,Boomers,35-54 years,0
Belize,Boomers,35-54 years,1
Belize,Boomers,35-54 years,0
Belize,Boomers,35-54 years,3
Belize,Boomers,35-54 years,1
Belize,Boomers,35-54 years,5
Belize,Boomers,35-54 years,0
Belize,Boomers,35-54 years,4
Belize,Boomers,35-54 years,2
Belize,Boomers,35-54 years,3
Belize,Boomers,35-54 years,0
Belize,Boomers,35-54 years,6
Belize,Boomers,35-54 years,2
Belize,Boomers,35-54 years,2
Belize,Boomers,35-54 years,1
Belize,Boomers,35-54 years,5
Belize,Boomers,35-54 years,0
Belize,Boomers,35-54 years,2
Belize,Boomers,35-54 years,0
Belize,Boomers,35-54 years,4
Belize,Boomers,35-54 years,0
Belize,Boomers,35-54 years,2
Belize,Boomers,35-54 years,1
Belize,Boomers,35-54 years,6
Belize,Boomers,35-54 years,0
Belize,Boomers,35-54 years,2
Belize,Boomers,35-54 years,0
Belize,Boomers,55-74 years,1
Belize,Boomers,55-74 years,0
Belize,Boomers,55-74 years,3
Belize,Boomers,55-74 years,0
Belize,Boomers,55-74 years,1
Belize,Boomers,55-74 years,0
Belize,Boomers,55-74 years,4
Belize,Boomers,55-74 years,0
Belize,Boomers,55-74 years,3
Belize,Boomers,55-74 years,1
