country,generation,age,suicides_no
Antigua and Barbuda,Silent,35-54 years,0
Antigua and Barbuda,Silent,35-54 years,0
Antigua and Barbuda,Silent,35-54 years,0
Antigua and Barbuda,Silent,35-54 years,0
Antigua and Barbuda,Silent,35-54 years,0
Antigua and Barbuda,Silent,35-54 years,0
Antigua and Barbuda,Silent,35-54 years,0
Antigua and Barbuda,Silent,35-54 years,0
Antigua and Barbuda,Silent,35-54 years,0
Antigua and Barbuda,Silent,35-54 years,1
Antigua and Barbuda,Silent,35-54 years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,55-74 years,1
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,55-74 years,1
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,55-74 years,1
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,55-74 years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,75+ years,0
Antigua and Barbuda,Silent,75+ years,0
Argentina,Silent,35-54 years,414
Argentina,Silent,35-54 years,142
Argentina,Silent,35-54 years,478
Argentina,Silent,35-54 years,188
Argentina,Silent,35-54 years,482
Argentina,Silent,35-54 years,209
Argentina,Silent,35-54 years,477
Argentina,Silent,35-54 years,198
Argentina,Silent,35-54 years,462
Argentina,Silent,35-54 years,166
Argentina,Silent,35-54 years,439
Argentina,Silent,35-54 years,163
Argentina,Silent,55-74 years,449
Argentina,Silent,55-74 years,169
Argentina,Silent,55-74 years,500
Argentina,Silent,55-74 years,147
Argentina,Silent,55-74 years,520
Argentina,Silent,55-74 years,126
Argentina,Silent,55-74 years,509
Argentina,Silent,55-74 years,135
Argentina,Silent,55-74 years,515
Argentina,Silent,55-74 years,134
Argentina,Silent,55-74 years,464
Argentina,Silent,55-74 years,131
Argentina,Silent,55-74 years,457
Argentina,Silent,55-74 years,131
Argentina,Silent,55-74 years,518
Argentina,Silent,55-74 years,140
Argentina,Silent,55-74 years,540
Argentina,Silent,55-74 years,137
Argentina,Silent,55-74 years,602
Argentina,Silent,55-74 years,133
Argentina,Silent,75+ years,250
Argentina,Silent,55-74 years,659
Argentina,Silent,75+ years,57
Argentina,Silent,55-74 years,137
Argentina,Silent,75+ years,234
Argentina,Silent,55-74 years,615
Argentina,Silent,55-74 years,179
Argentina,Silent,75+ years,58
Argentina,Silent,75+ years,272
Argentina,Silent,55-74 years,577
Argentina,Silent,75+ years,68
Argentina,Silent,55-74 years,147
Argentina,Silent,75+ years,227
Argentina,Silent,55-74 years,500
Argentina,Silent,55-74 years,136
Argentina,Silent,75+ years,50
Argentina,Silent,75+ years,225
Argentina,Silent,55-74 years,489
Argentina,Silent,55-74 years,161
Argentina,Silent,75+ years,59
Argentina,Silent,75+ years,246
Argentina,Silent,55-74 years,487
Argentina,Silent,55-74 years,115
Argentina,Silent,75+ years,31
Argentina,Silent,75+ years,225
Argentina,Silent,55-74 years,438
Argentina,Silent,55-74 years,108
Argentina,Silent,75+ years,31
Argentina,Silent,75+ years,208
Argentina,Silent,55-74 years,463
Argentina,Silent,55-74 years,108
Argentina,Silent,75+ years,36
Argentina,Silent,75+ years,177
Argentina,Silent,55-74 years,434
Argentina,Silent,55-74 years,112
Argentina,Silent,75+ years,25
Argentina,Silent,75+ years,206
Argentina,Silent,55-74 years,397
Argentina,Silent,55-74 years,99
Argentina,Silent,75+ years,34
Argentina,Silent,75+ years,178
Argentina,Silent,75+ years,30
Argentina,Silent,75+ years,225
Argentina,Silent,75+ years,33
Argentina,Silent,75+ years,168
Argentina,Silent,75+ years,29
Argentina,Silent,75+ years,192
Argentina,Silent,75+ years,25
Argentina,Silent,75+ years,245
Argentina,Silent,75+ years,27
Armenia,Silent,35-54 years,25
Armenia,Silent,35-54 years,15
Armenia,Silent,55-74 years,11
Armenia,Silent,55-74 years,9
Armenia,Silent,55-74 years,15
Armenia,Silent,55-74 years,10
Armenia,Silent,55-74 years,20
Armenia,Silent,55-74 years,14
Armenia,Silent,55-74 years,20
Armenia,Silent,55-74 years,18
Armenia,Silent,55-74 years,29
Armenia,Silent,55-74 years,11
Armenia,Silent,55-74 years,18
Armenia,Silent,55-74 years,12
Armenia,Silent,55-74 years,21
Armenia,Silent,55-74 years,8
Armenia,Silent,55-74 years,16
Armenia,Silent,55-74 years,6
Armenia,Silent,55-74 years,15
Armenia,Silent,55-74 years,9
Armenia,Silent,55-74 years,14
Armenia,Silent,55-74 years,4
Armenia,Silent,55-74 years,17
Armenia,Silent,75+ years,3
Armenia,Silent,75+ years,4
Armenia,Silent,55-74 years,4
Armenia,Silent,75+ years,3
Armenia,Silent,55-74 years,19
Armenia,Silent,75+ years,1
Armenia,Silent,55-74 years,3
Armenia,Silent,75+ years,3
Armenia,Silent,55-74 years,14
Armenia,Silent,75+ years,3
Armenia,Silent,55-74 years,3
Armenia,Silent,75+ years,6
Armenia,Silent,55-74 years,21
Armenia,Silent,55-74 years,8
Armenia,Silent,75+ years,2
Armenia,Silent,75+ years,7
Armenia,Silent,55-74 years,13
Armenia,Silent,55-74 years,8
Armenia,Silent,75+ years,1
Armenia,Silent,75+ years,7
Armenia,Silent,55-74 years,18
Armenia,Silent,55-74 years,5
Armenia,Silent,75+ years,0
Armenia,Silent,75+ years,8
Armenia,Silent,55-74 years,11
Armenia,Silent,75+ years,1
Armenia,Silent,55-74 years,3
Armenia,Silent,75+ years,6
Armenia,Silent,55-74 years,13
Armenia,Silent,55-74 years,7
Armenia,Silent,75+ years,2
Armenia,Silent,75+ years,6
Armenia,Silent,75+ years,2
Armenia,Silent,75+ years,5
Armenia,Silent,75+ years,3
Armenia,Silent,75+ years,7
Armenia,Silent,75+ years,6
Armenia,Silent,75+ years,9
Armenia,Silent,75+ years,6
Armenia,Silent,75+ years,12
Armenia,Silent,75+ years,5
Armenia,Silent,75+ years,12
Armenia,Silent,75+ years,2
Aruba,Silent,55-74 years,1
Aruba,Silent,55-74 years,0
Aruba,Silent,55-74 years,0
Aruba,Silent,55-74 years,0
Aruba,Silent,55-74 years,0
Aruba,Silent,55-74 years,0
Aruba,Silent,55-74 years,0
Aruba,Silent,75+ years,0
Aruba,Silent,55-74 years,0
Aruba,Silent,75+ years,0
Aruba,Silent,55-74 years,4
Aruba,Silent,55-74 years,0
Aruba,Silent,75+ years,0
Aruba,Silent,75+ years,0
Aruba,Silent,55-74 years,0
Aruba,Silent,75+ years,0
Aruba,Silent,55-74 years,0
Aruba,Silent,75+ years,0
Aruba,Silent,75+ years,1
Aruba,Silent,55-74 years,3
Aruba,Silent,55-74 years,0
Aruba,Silent,75+ years,0
Aruba,Silent,55-74 years,2
Aruba,Silent,55-74 years,1
Aruba,Silent,75+ years,0
Aruba,Silent,75+ years,0
Aruba,Silent,55-74 years,0
Aruba,Silent,75+ years,0
Aruba,Silent,55-74 years,0
Aruba,Silent,75+ years,0
Aruba,Silent,55-74 years,1
Aruba,Silent,55-74 years,1
Aruba,Silent,75+ years,0
Aruba,Silent,75+ years,0
Aruba,Silent,55-74 years,1
Aruba,Silent,55-74 years,0
Aruba,Silent,75+ years,0
Aruba,Silent,75+ years,0
Aruba,Silent,55-74 years,1
Aruba,Silent,55-74 years,0
Aruba,Silent,75+ years,0
Aruba,Silent,75+ years,0
Aruba,Silent,55-74 years,2
Aruba,Silent,55-74 years,1
Aruba,Silent,75+ years,0
Aruba,Silent,75+ years,0
Aruba,Silent,75+ years,0
Aruba,Silent,75+ years,0
Australia,Silent,35-54 years,411
Australia,Silent,35-54 years,143
Australia,Silent,35-54 years,487
Australia,Silent,35-54 years,169
Australia,Silent,35-54 years,554
Australia,Silent,35-54 years,145
Australia,Silent,35-54 years,532
Australia,Silent,35-54 years,157
Australia,Silent,35-54 years,475
Australia,Silent,35-54 years,130
Australia,Silent,35-54 years,549
Australia,Silent,35-54 years,136
Australia,Silent,55-74 years,273
Australia,Silent,55-74 years,96
Australia,Silent,55-74 years,325
Australia,Silent,55-74 years,102
Australia,Silent,55-74 years,293
Australia,Silent,55-74 years,75
Australia,Silent,55-74 years,311
Australia,Silent,55-74 years,79
Australia,Silent,55-74 years,274
Australia,Silent,55-74 years,79
Australia,Silent,55-74 years,330
Australia,Silent,55-74 years,86
Australia,Silent,55-74 years,305
Australia,Silent,55-74 years,96
Australia,Silent,55-74 years,301
Australia,Silent,55-74 years,90
Australia,Silent,55-74 years,315
Australia,Silent,55-74 years,74
Australia,Silent,55-74 years,281
Australia,Silent,55-74 years,87
Australia,Silent,75+ years,115
Australia,Silent,55-74 years,296
Australia,Silent,75+ years,39
Australia,Silent,55-74 years,81
Australia,Silent,75+ years,101
Australia,Silent,55-74 years,266
Australia,Silent,55-74 years,92
Australia,Silent,75+ years,36
Australia,Silent,75+ years,103
Australia,Silent,55-74 years,284
Australia,Silent,55-74 years,91
Australia,Silent,75+ years,24
Australia,Silent,75+ years,126
Australia,Silent,55-74 years,293
Australia,Silent,75+ years,40
Australia,Silent,55-74 years,69
Australia,Silent,75+ years,114
Australia,Silent,55-74 years,309
Australia,Silent,55-74 years,115
Australia,Silent,75+ years,41
Australia,Silent,75+ years,124
Australia,Silent,55-74 years,305
Australia,Silent,55-74 years,118
Australia,Silent,75+ years,33
Australia,Silent,75+ years,121
Australia,Silent,55-74 years,357
Australia,Silent,55-74 years,97
Australia,Silent,75+ years,27
Australia,Silent,75+ years,135
Australia,Silent,55-74 years,349
Australia,Silent,55-74 years,116
Australia,Silent,75+ years,43
Australia,Silent,75+ years,151
Australia,Silent,55-74 years,360
Australia,Silent,75+ years,43
Australia,Silent,55-74 years,104
Australia,Silent,75+ years,146
Australia,Silent,75+ years,45
Australia,Silent,75+ years,158
Australia,Silent,75+ years,52
Australia,Silent,75+ years,160
Australia,Silent,75+ years,48
Australia,Silent,75+ years,164
Australia,Silent,75+ years,45
Australia,Silent,75+ years,181
Australia,Silent,75+ years,52
Austria,Silent,35-54 years,515
Austria,Silent,35-54 years,186
Austria,Silent,35-54 years,507
Austria,Silent,35-54 years,182
Austria,Silent,35-54 years,471
Austria,Silent,35-54 years,155
Austria,Silent,35-54 years,431
Austria,Silent,35-54 years,144
Austria,Silent,35-54 years,402
Austria,Silent,35-54 years,156
Austria,Silent,35-54 years,418
Austria,Silent,35-54 years,150
Austria,Silent,55-74 years,336
Austria,Silent,55-74 years,144
Austria,Silent,55-74 years,347
Austria,Silent,55-74 years,132
Austria,Silent,55-74 years,314
Austria,Silent,55-74 years,139
Austria,Silent,55-74 years,331
Austria,Silent,55-74 years,149
Austria,Silent,55-74 years,333
Austria,Silent,55-74 years,141
Austria,Silent,55-74 years,381
Austria,Silent,55-74 years,126
Austria,Silent,55-74 years,313
Austria,Silent,55-74 years,131
Austria,Silent,55-74 years,334
Austria,Silent,55-74 years,116
Austria,Silent,55-74 years,329
Austria,Silent,55-74 years,122
Austria,Silent,55-74 years,342
Austria,Silent,55-74 years,143
Austria,Silent,75+ years,151
Austria,Silent,55-74 years,309
Austria,Silent,75+ years,93
Austria,Silent,55-74 years,129
Austria,Silent,75+ years,187
Austria,Silent,55-74 years,322
Austria,Silent,75+ years,80
Austria,Silent,55-74 years,105
Austria,Silent,75+ years,177
Austria,Silent,55-74 years,308
Austria,Silent,75+ years,84
Austria,Silent,55-74 years,102
Austria,Silent,75+ years,189
Austria,Silent,55-74 years,308
Austria,Silent,75+ years,73
Austria,Silent,55-74 years,118
Austria,Silent,75+ years,166
Austria,Silent,55-74 years,331
Austria,Silent,75+ years,81
Austria,Silent,55-74 years,96
Austria,Silent,75+ years,171
Austria,Silent,55-74 years,266
Austria,Silent,75+ years,81
Austria,Silent,55-74 years,91
Austria,Silent,75+ years,170
Austria,Silent,55-74 years,273
Austria,Silent,75+ years,80
Austria,Silent,55-74 years,109
Austria,Silent,75+ years,200
Austria,Silent,55-74 years,276
Austria,Silent,75+ years,72
Austria,Silent,55-74 years,82
Austria,Silent,75+ years,187
Austria,Silent,55-74 years,279
Austria,Silent,75+ years,68
Austria,Silent,55-74 years,103
Austria,Silent,75+ years,180
Austria,Silent,55-74 years,287
Austria,Silent,75+ years,62
Austria,Silent,55-74 years,90
Austria,Silent,75+ years,196
Austria,Silent,75+ years,58
Austria,Silent,75+ years,189
Austria,Silent,75+ years,76
Austria,Silent,75+ years,221
Austria,Silent,75+ years,64
Austria,Silent,75+ years,206
Austria,Silent,75+ years,77
Austria,Silent,75+ years,214
Austria,Silent,75+ years,70
Austria,Silent,75+ years,212
Austria,Silent,75+ years,61
Azerbaijan,Silent,35-54 years,41
Azerbaijan,Silent,35-54 years,6
Azerbaijan,Silent,55-74 years,22
Azerbaijan,Silent,55-74 years,5
Azerbaijan,Silent,55-74 years,18
Azerbaijan,Silent,55-74 years,11
Azerbaijan,Silent,55-74 years,17
Azerbaijan,Silent,55-74 years,6
Azerbaijan,Silent,55-74 years,10
Azerbaijan,Silent,55-74 years,5
Azerbaijan,Silent,55-74 years,8
Azerbaijan,Silent,55-74 years,0
Azerbaijan,Silent,55-74 years,19
Azerbaijan,Silent,55-74 years,2
Azerbaijan,Silent,55-74 years,24
Azerbaijan,Silent,55-74 years,3
Azerbaijan,Silent,55-74 years,8
Azerbaijan,Silent,55-74 years,4
Azerbaijan,Silent,55-74 years,9
Azerbaijan,Silent,55-74 years,2
Azerbaijan,Silent,55-74 years,9
Azerbaijan,Silent,55-74 years,3
Azerbaijan,Silent,55-74 years,34
Azerbaijan,Silent,75+ years,3
Azerbaijan,Silent,75+ years,6
Azerbaijan,Silent,55-74 years,21
Azerbaijan,Silent,55-74 years,19
Azerbaijan,Silent,75+ years,2
Azerbaijan,Silent,55-74 years,6
Azerbaijan,Silent,75+ years,1
Azerbaijan,Silent,75+ years,3
Azerbaijan,Silent,75+ years,4
Azerbaijan,Silent,55-74 years,14
Azerbaijan,Silent,55-74 years,7
Azerbaijan,Silent,75+ years,5
Azerbaijan,Silent,55-74 years,7
Azerbaijan,Silent,55-74 years,5
Azerbaijan,Silent,75+ years,0
Azerbaijan,Silent,75+ years,3
Azerbaijan,Silent,55-74 years,8
Azerbaijan,Silent,75+ years,1
Azerbaijan,Silent,55-74 years,1
Bahamas,Silent,35-54 years,1
Bahamas,Silent,35-54 years,0
Bahamas,Silent,35-54 years,2
Bahamas,Silent,35-54 years,0
Bahamas,Silent,55-74 years,1
Bahamas,Silent,55-74 years,1
Bahamas,Silent,55-74 years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,55-74 years,1
Bahamas,Silent,55-74 years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,55-74 years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,75+ years,1
Bahamas,Silent,55-74 years,1
Bahamas,Silent,55-74 years,1
Bahamas,Silent,75+ years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,75+ years,0
Bahamas,Silent,75+ years,0
Bahrain,Silent,35-54 years,3
Bahrain,Silent,35-54 years,1
Bahrain,Silent,35-54 years,3
Bahrain,Silent,35-54 years,0
Bahrain,Silent,35-54 years,4
Bahrain,Silent,35-54 years,1
Bahrain,Silent,55-74 years,0
Bahrain,Silent,55-74 years,0
Bahrain,Silent,55-74 years,0
Bahrain,Silent,55-74 years,0
Bahrain,Silent,55-74 years,0
Bahrain,Silent,55-74 years,0
Bahrain,Silent,55-74 years,0
Bahrain,Silent,55-74 years,0
Bahrain,Silent,55-74 years,1
Bahrain,Silent,55-74 years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,55-74 years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,55-74 years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,55-74 years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,55-74 years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,55-74 years,4
Bahrain,Silent,55-74 years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,55-74 years,2
Bahrain,Silent,55-74 years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,55-74 years,1
Bahrain,Silent,55-74 years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,55-74 years,2
Bahrain,Silent,55-74 years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,55-74 years,1
Bahrain,Silent,55-74 years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,55-74 years,1
Bahrain,Silent,55-74 years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,55-74 years,1
Bahrain,Silent,55-74 years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,75+ years,0
Bahrain,Silent,75+ years,0
Barbados,Silent,35-54 years,0
Barbados,Silent,35-54 years,0
Barbados,Silent,35-54 years,4
Barbados,Silent,35-54 years,0
Barbados,Silent,35-54 years,2
Barbados,Silent,35-54 years,1
Barbados,Silent,35-54 years,3
Barbados,Silent,35-54 years,0
Barbados,Silent,35-54 years,6
Barbados,Silent,35-54 years,0
Barbados,Silent,35-54 years,5
Barbados,Silent,35-54 years,2
Barbados,Silent,55-74 years,3
Barbados,Silent,55-74 years,1
Barbados,Silent,55-74 years,2
Barbados,Silent,55-74 years,1
Barbados,Silent,55-74 years,3
Barbados,Silent,55-74 years,1
Barbados,Silent,55-74 years,3
Barbados,Silent,55-74 years,2
Barbados,Silent,55-74 years,1
Barbados,Silent,55-74 years,1
Barbados,Silent,55-74 years,0
Barbados,Silent,55-74 years,0
Barbados,Silent,55-74 years,1
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,75+ years,0
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,75+ years,1
Barbados,Silent,55-74 years,1
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,75+ years,1
Barbados,Silent,55-74 years,1
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,55-74 years,0
Barbados,Silent,75+ years,0
Barbados,Silent,75+ years,0
Barbados,Silent,75+ years,0
Barbados,Silent,75+ years,0
Barbados,Silent,75+ years,0
Barbados,Silent,75+ years,0
Barbados,Silent,75+ years,0
Belarus,Silent,35-54 years,729
Belarus,Silent,35-54 years,144
Belarus,Silent,55-74 years,401
Belarus,Silent,55-74 years,175
Belarus,Silent,55-74 years,459
Belarus,Silent,55-74 years,160
Belarus,Silent,55-74 years,577
Belarus,Silent,55-74 years,198
Belarus,Silent,55-74 years,671
Belarus,Silent,55-74 years,227
Belarus,Silent,55-74 years,699
Belarus,Silent,55-74 years,197
Belarus,Silent,55-74 years,859
Belarus,Silent,55-74 years,214
Belarus,Silent,55-74 years,819
Belarus,Silent,55-74 years,188
Belarus,Silent,55-74 years,794
Belarus,Silent,55-74 years,185
Belarus,Silent,55-74 years,739
Belarus,Silent,55-74 years,170
Belarus,Silent,55-74 years,721
Belarus,Silent,55-74 years,172
Belarus,Silent,55-74 years,658
Belarus,Silent,75+ years,82
Belarus,Silent,75+ years,73
Belarus,Silent,55-74 years,162
Belarus,Silent,55-74 years,607
Belarus,Silent,75+ years,79
Belarus,Silent,75+ years,69
Belarus,Silent,55-74 years,149
Belarus,Silent,55-74 years,669
Belarus,Silent,75+ years,107
Belarus,Silent,75+ years,78
Belarus,Silent,55-74 years,177
Belarus,Silent,75+ years,122
Belarus,Silent,55-74 years,506
Belarus,Silent,75+ years,70
Belarus,Silent,55-74 years,127
Belarus,Silent,75+ years,131
Belarus,Silent,55-74 years,481
Belarus,Silent,75+ years,63
Belarus,Silent,55-74 years,127
Belarus,Silent,75+ years,145
Belarus,Silent,55-74 years,466
Belarus,Silent,75+ years,74
Belarus,Silent,55-74 years,144
Belarus,Silent,75+ years,115
Belarus,Silent,55-74 years,458
Belarus,Silent,75+ years,62
Belarus,Silent,55-74 years,83
Belarus,Silent,75+ years,112
Belarus,Silent,75+ years,69
Belarus,Silent,75+ years,125
Belarus,Silent,75+ years,65
Belarus,Silent,75+ years,125
Belarus,Silent,75+ years,53
Belgium,Silent,35-54 years,493
Belgium,Silent,35-54 years,252
Belgium,Silent,35-54 years,476
Belgium,Silent,35-54 years,252
Belgium,Silent,35-54 years,483
Belgium,Silent,35-54 years,215
Belgium,Silent,35-54 years,423
Belgium,Silent,35-54 years,213
Belgium,Silent,35-54 years,422
Belgium,Silent,35-54 years,190
Belgium,Silent,35-54 years,422
Belgium,Silent,35-54 years,186
Belgium,Silent,55-74 years,310
Belgium,Silent,55-74 years,172
Belgium,Silent,55-74 years,331
Belgium,Silent,55-74 years,202
Belgium,Silent,55-74 years,365
Belgium,Silent,55-74 years,192
Belgium,Silent,55-74 years,378
Belgium,Silent,55-74 years,185
Belgium,Silent,55-74 years,392
Belgium,Silent,55-74 years,185
