country,generation,age,suicides_no
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,15-24 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,25-34 years,0
Antigua and Barbuda,Generation X,35-54 years,0
Antigua and Barbuda,Generation X,35-54 years,0
Antigua and Barbuda,Generation X,35-54 years,0
Antigua and Barbuda,Generation X,35-54 years,0
Antigua and Barbuda,Generation X,35-54 years,0
Antigua and Barbuda,Generation X,35-54 years,0
Antigua and Barbuda,Generation X,35-54 years,0
Antigua and Barbuda,Generation X,35-54 years,0
Argentina,Generation X,15-24 years,156
Argentina,Generation X,15-24 years,69
Argentina,Generation X,5-14 years,16
Argentina,Generation X,5-14 years,11
Argentina,Generation X,15-24 years,186
Argentina,Generation X,15-24 years,101
Argentina,Generation X,5-14 years,10
Argentina,Generation X,5-14 years,7
Argentina,Generation X,15-24 years,179
Argentina,Generation X,15-24 years,93
Argentina,Generation X,5-14 years,15
Argentina,Generation X,5-14 years,14
Argentina,Generation X,15-24 years,211
Argentina,Generation X,15-24 years,101
Argentina,Generation X,5-14 years,20
Argentina,Generation X,5-14 years,11
Argentina,Generation X,15-24 years,186
Argentina,Generation X,15-24 years,80
Argentina,Generation X,5-14 years,18
Argentina,Generation X,5-14 years,11
Argentina,Generation X,15-24 years,174
Argentina,Generation X,15-24 years,91
Argentina,Generation X,5-14 years,22
Argentina,Generation X,5-14 years,14
Argentina,Generation X,15-24 years,179
Argentina,Generation X,15-24 years,61
Argentina,Generation X,15-24 years,249
Argentina,Generation X,15-24 years,79
Argentina,Generation X,15-24 years,235
Argentina,Generation X,15-24 years,73
Argentina,Generation X,15-24 years,250
Argentina,Generation X,15-24 years,98
Argentina,Generation X,25-34 years,218
Argentina,Generation X,15-24 years,277
Argentina,Generation X,15-24 years,101
Argentina,Generation X,25-34 years,62
Argentina,Generation X,25-34 years,226
Argentina,Generation X,15-24 years,280
Argentina,Generation X,15-24 years,105
Argentina,Generation X,25-34 years,52
Argentina,Generation X,25-34 years,213
Argentina,Generation X,15-24 years,260
Argentina,Generation X,15-24 years,113
Argentina,Generation X,25-34 years,72
Argentina,Generation X,15-24 years,327
Argentina,Generation X,25-34 years,251
Argentina,Generation X,15-24 years,114
Argentina,Generation X,25-34 years,52
Argentina,Generation X,15-24 years,355
Argentina,Generation X,25-34 years,265
Argentina,Generation X,15-24 years,101
Argentina,Generation X,25-34 years,50
Argentina,Generation X,15-24 years,463
Argentina,Generation X,25-34 years,331
Argentina,Generation X,15-24 years,116
Argentina,Generation X,25-34 years,63
Argentina,Generation X,25-34 years,375
Argentina,Generation X,25-34 years,82
Argentina,Generation X,25-34 years,412
Argentina,Generation X,25-34 years,91
Argentina,Generation X,25-34 years,456
Argentina,Generation X,25-34 years,69
Argentina,Generation X,25-34 years,445
Argentina,Generation X,25-34 years,99
Argentina,Generation X,25-34 years,451
Argentina,Generation X,25-34 years,104
Argentina,Generation X,25-34 years,483
Argentina,Generation X,25-34 years,105
Argentina,Generation X,25-34 years,490
Argentina,Generation X,25-34 years,126
Argentina,Generation X,25-34 years,531
Argentina,Generation X,25-34 years,94
Argentina,Generation X,25-34 years,504
Argentina,Generation X,25-34 years,105
Argentina,Generation X,25-34 years,485
Argentina,Generation X,35-54 years,573
Argentina,Generation X,35-54 years,162
Argentina,Generation X,25-34 years,101
Argentina,Generation X,35-54 years,504
Argentina,Generation X,35-54 years,157
Argentina,Generation X,35-54 years,554
Argentina,Generation X,35-54 years,164
Argentina,Generation X,35-54 years,604
Argentina,Generation X,35-54 years,157
Argentina,Generation X,35-54 years,644
Argentina,Generation X,35-54 years,196
Argentina,Generation X,35-54 years,633
Argentina,Generation X,35-54 years,166
Armenia,Generation X,15-24 years,10
Armenia,Generation X,15-24 years,3
Armenia,Generation X,5-14 years,0
Armenia,Generation X,5-14 years,0
Armenia,Generation X,15-24 years,6
Armenia,Generation X,15-24 years,0
Armenia,Generation X,15-24 years,9
Armenia,Generation X,15-24 years,1
Armenia,Generation X,15-24 years,7
Armenia,Generation X,15-24 years,3
Armenia,Generation X,15-24 years,6
Armenia,Generation X,15-24 years,4
Armenia,Generation X,25-34 years,21
Armenia,Generation X,25-34 years,11
Armenia,Generation X,15-24 years,10
Armenia,Generation X,15-24 years,3
Armenia,Generation X,25-34 years,13
Armenia,Generation X,15-24 years,4
Armenia,Generation X,25-34 years,3
Armenia,Generation X,15-24 years,1
Armenia,Generation X,25-34 years,9
Armenia,Generation X,15-24 years,4
Armenia,Generation X,25-34 years,1
Armenia,Generation X,15-24 years,0
Armenia,Generation X,25-34 years,6
Armenia,Generation X,15-24 years,4
Armenia,Generation X,25-34 years,1
Armenia,Generation X,15-24 years,0
Armenia,Generation X,25-34 years,6
Armenia,Generation X,15-24 years,6
Armenia,Generation X,25-34 years,2
Armenia,Generation X,15-24 years,0
Armenia,Generation X,25-34 years,5
Armenia,Generation X,15-24 years,6
Armenia,Generation X,25-34 years,4
Armenia,Generation X,15-24 years,0
Armenia,Generation X,25-34 years,2
Armenia,Generation X,25-34 years,1
Armenia,Generation X,25-34 years,12
Armenia,Generation X,25-34 years,1
Armenia,Generation X,25-34 years,10
Armenia,Generation X,25-34 years,0
Armenia,Generation X,25-34 years,6
Armenia,Generation X,25-34 years,2
Armenia,Generation X,25-34 years,4
Armenia,Generation X,25-34 years,0
Armenia,Generation X,25-34 years,4
Armenia,Generation X,25-34 years,2
Armenia,Generation X,25-34 years,2
Armenia,Generation X,25-34 years,2
Armenia,Generation X,25-34 years,10
Armenia,Generation X,35-54 years,15
Armenia,Generation X,35-54 years,5
Armenia,Generation X,25-34 years,1
Armenia,Generation X,35-54 years,23
Armenia,Generation X,35-54 years,3
Armenia,Generation X,35-54 years,26
Armenia,Generation X,35-54 years,7
Armenia,Generation X,35-54 years,13
Armenia,Generation X,35-54 years,6
Armenia,Generation X,35-54 years,13
Armenia,Generation X,35-54 years,2
Armenia,Generation X,35-54 years,15
Armenia,Generation X,35-54 years,4
Armenia,Generation X,35-54 years,16
Armenia,Generation X,35-54 years,3
Aruba,Generation X,25-34 years,4
Aruba,Generation X,15-24 years,0
Aruba,Generation X,25-34 years,0
Aruba,Generation X,15-24 years,0
Aruba,Generation X,25-34 years,4
Aruba,Generation X,15-24 years,2
Aruba,Generation X,15-24 years,0
Aruba,Generation X,25-34 years,0
Aruba,Generation X,25-34 years,3
Aruba,Generation X,15-24 years,0
Aruba,Generation X,25-34 years,0
Aruba,Generation X,15-24 years,0
Aruba,Generation X,25-34 years,0
Aruba,Generation X,25-34 years,0
Aruba,Generation X,25-34 years,2
Aruba,Generation X,25-34 years,0
Aruba,Generation X,25-34 years,0
Aruba,Generation X,25-34 years,0
Aruba,Generation X,25-34 years,1
Aruba,Generation X,25-34 years,0
Aruba,Generation X,25-34 years,1
Aruba,Generation X,25-34 years,0
Aruba,Generation X,25-34 years,4
Aruba,Generation X,25-34 years,0
Aruba,Generation X,25-34 years,2
Aruba,Generation X,25-34 years,0
Aruba,Generation X,25-34 years,1
Aruba,Generation X,25-34 years,0
Aruba,Generation X,25-34 years,1
Aruba,Generation X,25-34 years,0
Aruba,Generation X,35-54 years,4
Aruba,Generation X,25-34 years,0
Aruba,Generation X,35-54 years,0
Aruba,Generation X,25-34 years,0
Aruba,Generation X,35-54 years,3
Aruba,Generation X,35-54 years,0
Australia,Generation X,15-24 years,315
Australia,Generation X,15-24 years,69
Australia,Generation X,5-14 years,4
Australia,Generation X,5-14 years,4
Australia,Generation X,15-24 years,296
Australia,Generation X,15-24 years,77
Australia,Generation X,5-14 years,18
Australia,Generation X,5-14 years,1
Australia,Generation X,15-24 years,354
Australia,Generation X,15-24 years,73
Australia,Generation X,5-14 years,6
Australia,Generation X,5-14 years,1
Australia,Generation X,15-24 years,366
Australia,Generation X,15-24 years,53
Australia,Generation X,5-14 years,6
Australia,Generation X,5-14 years,1
Australia,Generation X,15-24 years,353
Australia,Generation X,15-24 years,51
Australia,Generation X,5-14 years,8
Australia,Generation X,5-14 years,1
Australia,Generation X,15-24 years,374
Australia,Generation X,15-24 years,64
Australia,Generation X,5-14 years,5
Australia,Generation X,5-14 years,0
Australia,Generation X,15-24 years,354
Australia,Generation X,15-24 years,84
Australia,Generation X,15-24 years,384
Australia,Generation X,15-24 years,76
Australia,Generation X,15-24 years,332
Australia,Generation X,15-24 years,50
Australia,Generation X,15-24 years,377
Australia,Generation X,15-24 years,55
Australia,Generation X,25-34 years,440
Australia,Generation X,15-24 years,318
Australia,Generation X,25-34 years,91
Australia,Generation X,15-24 years,81
Australia,Generation X,25-34 years,471
Australia,Generation X,15-24 years,366
Australia,Generation X,25-34 years,98
Australia,Generation X,15-24 years,59
Australia,Generation X,25-34 years,529
Australia,Generation X,15-24 years,408
Australia,Generation X,25-34 years,109
Australia,Generation X,15-24 years,86
Australia,Generation X,25-34 years,579
Australia,Generation X,15-24 years,353
Australia,Generation X,25-34 years,109
Australia,Generation X,15-24 years,81
Australia,Generation X,25-34 years,511
Australia,Generation X,15-24 years,303
Australia,Generation X,25-34 years,117
Australia,Generation X,15-24 years,70
Australia,Generation X,25-34 years,466
Australia,Generation X,15-24 years,271
Australia,Generation X,25-34 years,106
Australia,Generation X,15-24 years,78
Australia,Generation X,25-34 years,489
Australia,Generation X,25-34 years,109
Australia,Generation X,25-34 years,452
Australia,Generation X,25-34 years,103
Australia,Generation X,25-34 years,394
Australia,Generation X,25-34 years,106
Australia,Generation X,25-34 years,386
Australia,Generation X,25-34 years,82
Australia,Generation X,25-34 years,277
Australia,Generation X,25-34 years,74
Australia,Generation X,25-34 years,341
Australia,Generation X,25-34 years,90
Australia,Generation X,25-34 years,354
Australia,Generation X,25-34 years,90
Australia,Generation X,25-34 years,336
Australia,Generation X,25-34 years,103
Australia,Generation X,35-54 years,816
Australia,Generation X,25-34 years,311
Australia,Generation X,35-54 years,228
Australia,Generation X,25-34 years,94
Australia,Generation X,35-54 years,704
Australia,Generation X,35-54 years,230
Australia,Generation X,35-54 years,802
Australia,Generation X,35-54 years,258
Australia,Generation X,35-54 years,754
Australia,Generation X,35-54 years,275
Australia,Generation X,35-54 years,866
Australia,Generation X,35-54 years,277
Australia,Generation X,35-54 years,944
Australia,Generation X,35-54 years,294
Austria,Generation X,15-24 years,207
Austria,Generation X,15-24 years,50
Austria,Generation X,5-14 years,6
Austria,Generation X,5-14 years,2
Austria,Generation X,15-24 years,199
Austria,Generation X,15-24 years,60
Austria,Generation X,5-14 years,5
Austria,Generation X,5-14 years,1
Austria,Generation X,15-24 years,185
Austria,Generation X,15-24 years,49
Austria,Generation X,5-14 years,2
Austria,Generation X,5-14 years,2
Austria,Generation X,15-24 years,168
Austria,Generation X,15-24 years,28
Austria,Generation X,5-14 years,2
Austria,Generation X,5-14 years,2
Austria,Generation X,15-24 years,163
Austria,Generation X,15-24 years,48
Austria,Generation X,5-14 years,6
Austria,Generation X,5-14 years,0
Austria,Generation X,15-24 years,150
Austria,Generation X,15-24 years,31
Austria,Generation X,5-14 years,2
Austria,Generation X,5-14 years,1
Austria,Generation X,15-24 years,153
Austria,Generation X,15-24 years,34
Austria,Generation X,15-24 years,142
Austria,Generation X,15-24 years,33
Austria,Generation X,15-24 years,119
Austria,Generation X,15-24 years,35
Austria,Generation X,15-24 years,136
Austria,Generation X,15-24 years,34
Austria,Generation X,25-34 years,237
Austria,Generation X,15-24 years,134
Austria,Generation X,25-34 years,59
Austria,Generation X,15-24 years,19
Austria,Generation X,25-34 years,203
Austria,Generation X,15-24 years,108
Austria,Generation X,25-34 years,53
Austria,Generation X,15-24 years,12
Austria,Generation X,25-34 years,201
Austria,Generation X,15-24 years,121
Austria,Generation X,25-34 years,48
Austria,Generation X,15-24 years,23
Austria,Generation X,25-34 years,166
Austria,Generation X,15-24 years,99
Austria,Generation X,25-34 years,45
Austria,Generation X,15-24 years,24
Austria,Generation X,25-34 years,161
Austria,Generation X,15-24 years,99
Austria,Generation X,25-34 years,37
Austria,Generation X,15-24 years,25
Austria,Generation X,25-34 years,149
Austria,Generation X,15-24 years,106
Austria,Generation X,15-24 years,27
Austria,Generation X,25-34 years,34
Austria,Generation X,25-34 years,142
Austria,Generation X,25-34 years,41
Austria,Generation X,25-34 years,158
Austria,Generation X,25-34 years,30
Austria,Generation X,25-34 years,118
Austria,Generation X,25-34 years,32
Austria,Generation X,25-34 years,120
Austria,Generation X,25-34 years,26
Austria,Generation X,25-34 years,102
Austria,Generation X,25-34 years,33
Austria,Generation X,25-34 years,103
Austria,Generation X,25-34 years,18
Austria,Generation X,25-34 years,99
Austria,Generation X,25-34 years,25
Austria,Generation X,25-34 years,86
Austria,Generation X,25-34 years,18
Austria,Generation X,25-34 years,99
Austria,Generation X,25-34 years,18
Austria,Generation X,35-54 years,325
Austria,Generation X,25-34 years,85
Austria,Generation X,35-54 years,102
Austria,Generation X,25-34 years,25
Austria,Generation X,35-54 years,336
Austria,Generation X,35-54 years,95
Austria,Generation X,35-54 years,332
Austria,Generation X,35-54 years,87
Austria,Generation X,35-54 years,317
Austria,Generation X,35-54 years,94
Austria,Generation X,35-54 years,321
Austria,Generation X,35-54 years,93
Austria,Generation X,35-54 years,313
Austria,Generation X,35-54 years,79
Austria,Generation X,35-54 years,260
Austria,Generation X,35-54 years,95
Azerbaijan,Generation X,15-24 years,16
Azerbaijan,Generation X,15-24 years,4
Azerbaijan,Generation X,5-14 years,1
Azerbaijan,Generation X,5-14 years,0
Azerbaijan,Generation X,15-24 years,22
Azerbaijan,Generation X,15-24 years,8
Azerbaijan,Generation X,15-24 years,23
Azerbaijan,Generation X,15-24 years,8
Azerbaijan,Generation X,15-24 years,22
Azerbaijan,Generation X,15-24 years,6
Azerbaijan,Generation X,15-24 years,3
Azerbaijan,Generation X,15-24 years,3
Azerbaijan,Generation X,15-24 years,9
Azerbaijan,Generation X,25-34 years,5
Azerbaijan,Generation X,25-34 years,3
Azerbaijan,Generation X,15-24 years,0
Azerbaijan,Generation X,25-34 years,13
Azerbaijan,Generation X,15-24 years,9
Azerbaijan,Generation X,15-24 years,3
Azerbaijan,Generation X,25-34 years,2
Azerbaijan,Generation X,25-34 years,21
Azerbaijan,Generation X,15-24 years,7
Azerbaijan,Generation X,15-24 years,6
Azerbaijan,Generation X,25-34 years,4
Azerbaijan,Generation X,25-34 years,12
Azerbaijan,Generation X,15-24 years,3
Azerbaijan,Generation X,15-24 years,2
Azerbaijan,Generation X,25-34 years,0
Azerbaijan,Generation X,25-34 years,10
Azerbaijan,Generation X,15-24 years,6
Azerbaijan,Generation X,15-24 years,2
Azerbaijan,Generation X,25-34 years,2
Azerbaijan,Generation X,25-34 years,11
Azerbaijan,Generation X,15-24 years,11
Azerbaijan,Generation X,15-24 years,4
Azerbaijan,Generation X,25-34 years,3
Azerbaijan,Generation X,25-34 years,40
Azerbaijan,Generation X,25-34 years,23
Azerbaijan,Generation X,25-34 years,7
Azerbaijan,Generation X,25-34 years,3
Azerbaijan,Generation X,25-34 years,12
Azerbaijan,Generation X,25-34 years,3
Azerbaijan,Generation X,25-34 years,15
Azerbaijan,Generation X,25-34 years,4
Azerbaijan,Generation X,25-34 years,8
Azerbaijan,Generation X,25-34 years,2
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,5-14 years,0
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,5-14 years,0
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,5-14 years,0
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,5-14 years,0
Bahamas,Generation X,15-24 years,1
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,25-34 years,1
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,25-34 years,1
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,25-34 years,2
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,25-34 years,3
Bahamas,Generation X,25-34 years,1
Bahamas,Generation X,15-24 years,1
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,25-34 years,4
Bahamas,Generation X,15-24 years,1
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,15-24 years,0
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,25-34 years,1
Bahamas,Generation X,25-34 years,1
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,25-34 years,1
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,25-34 years,1
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,25-34 years,1
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,35-54 years,3
Bahamas,Generation X,35-54 years,1
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,25-34 years,0
Bahamas,Generation X,35-54 years,1
Bahamas,Generation X,35-54 years,0
Bahamas,Generation X,35-54 years,2
Bahamas,Generation X,35-54 years,1
Bahamas,Generation X,35-54 years,2
Bahamas,Generation X,35-54 years,1
Bahrain,Generation X,15-24 years,0
Bahrain,Generation X,5-14 years,0
Bahrain,Generation X,15-24 years,0
Bahrain,Generation X,5-14 years,0
Bahrain,Generation X,15-24 years,1
Bahrain,Generation X,5-14 years,0
Bahrain,Generation X,15-24 years,0
Bahrain,Generation X,5-14 years,0
Bahrain,Generation X,15-24 years,1
Bahrain,Generation X,15-24 years,0
Bahrain,Generation X,5-14 years,0
Bahrain,Generation X,5-14 years,0
Bahrain,Generation X,15-24 years,0
Bahrain,Generation X,25-34 years,0
Bahrain,Generation X,15-24 years,0
Bahrain,Generation X,25-34 years,0
Bahrain,Generation X,15-24 years,0
Bahrain,Generation X,25-34 years,0
Bahrain,Generation X,15-24 years,0
Bahrain,Generation X,25-34 years,0
Bahrain,Generation X,25-34 years,8
Bahrain,Generation X,15-24 years,2
Bahrain,Generation X,15-24 years,1
Bahrain,Generation X,25-34 years,1
Bahrain,Generation X,25-34 years,16
Bahrain,Generation X,15-24 years,2
Bahrain,Generation X,25-34 years,1
Bahrain,Generation X,15-24 years,0
Bahrain,Generation X,25-34 years,8
Bahrain,Generation X,25-34 years,1
Bahrain,Generation X,25-34 years,7
Bahrain,Generation X,25-34 years,1
Bahrain,Generation X,25-34 years,9
Bahrain,Generation X,25-34 years,5
Bahrain,Generation X,25-34 years,19
Bahrain,Generation X,25-34 years,3
Bahrain,Generation X,25-34 years,15
Bahrain,Generation X,25-34 years,3
Bahrain,Generation X,25-34 years,12
Bahrain,Generation X,25-34 years,5
Bahrain,Generation X,25-34 years,14
Bahrain,Generation X,25-34 years,3
Bahrain,Generation X,25-34 years,21
Bahrain,Generation X,25-34 years,2
Bahrain,Generation X,25-34 years,9
Bahrain,Generation X,25-34 years,4
Bahrain,Generation X,35-54 years,8
Bahrain,Generation X,25-34 years,6
Bahrain,Generation X,35-54 years,2
Bahrain,Generation X,25-34 years,1
Bahrain,Generation X,35-54 years,4
Bahrain,Generation X,35-54 years,2
Bahrain,Generation X,35-54 years,6
Bahrain,Generation X,35-54 years,0
Bahrain,Generation X,35-54 years,2
Bahrain,Generation X,35-54 years,0
Bahrain,Generation X,35-54 years,1
Bahrain,Generation X,35-54 years,0
Barbados,Generation X,15-24 years,0
Barbados,Generation X,5-14 years,0
Barbados,Generation X,15-24 years,0
Barbados,Generation X,5-14 years,0
Barbados,Generation X,15-24 years,2
Barbados,Generation X,15-24 years,0
Barbados,Generation X,5-14 years,0
Barbados,Generation X,5-14 years,0
Barbados,Generation X,5-14 years,1
Barbados,Generation X,15-24 years,0
Barbados,Generation X,5-14 years,0
Barbados,Generation X,15-24 years,0
Barbados,Generation X,15-24 years,2
Barbados,Generation X,15-24 years,0
Barbados,Generation X,5-14 years,0
Barbados,Generation X,5-14 years,0
Barbados,Generation X,15-24 years,3
Barbados,Generation X,15-24 years,2
Barbados,Generation X,5-14 years,0
Barbados,Generation X,5-14 years,0
Barbados,Generation X,15-24 years,1
Barbados,Generation X,15-24 years,0
Barbados,Generation X,5-14 years,0
Barbados,Generation X,5-14 years,0
Barbados,Generation X,15-24 years,3
Barbados,Generation X,15-24 years,0
Barbados,Generation X,15-24 years,0
Barbados,Generation X,15-24 years,0
Barbados,Generation X,15-24 years,5
Barbados,Generation X,15-24 years,0
Barbados,Generation X,15-24 years,1
Barbados,Generation X,15-24 years,0
Barbados,Generation X,25-34 years,7
Barbados,Generation X,15-24 years,2
Barbados,Generation X,15-24 years,1
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,4
Barbados,Generation X,15-24 years,1
Barbados,Generation X,15-24 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,2
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,35-54 years,3
Barbados,Generation X,25-34 years,0
Barbados,Generation X,35-54 years,0
Barbados,Generation X,25-34 years,0
Barbados,Generation X,35-54 years,0
Barbados,Generation X,35-54 years,0
Barbados,Generation X,35-54 years,0
Barbados,Generation X,35-54 years,0
Barbados,Generation X,35-54 years,0
Barbados,Generation X,35-54 years,0
Belarus,Generation X,15-24 years,132
Belarus,Generation X,15-24 years,24
Belarus,Generation X,5-14 years,8
Belarus,Generation X,5-14 years,3
Belarus,Generation X,15-24 years,143
Belarus,Generation X,15-24 years,30
Belarus,Generation X,15-24 years,166
Belarus,Generation X,15-24 years,31
Belarus,Generation X,15-24 years,175
Belarus,Generation X,15-24 years,37
